id,split,type,title,file,path,ext,chars,paragraphs,paragraphs_per_1000_chars,median_paragraph_chars,under20_paragraph_ratio,max_under20_run,section_count,progression_chain,visual_cadence,source_stratum,sha256
a057,train,领导宣传,北京宜宾招待所与大宜宾共商合作，共推宜宾文化新发展,2025年10月28日北京宜宾招待所与大宜宾共商合作，共推宜宾文化新发展.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/2025年10月28日北京宜宾招待所与大宜宾共商合作，共推宜宾文化新发展.docx,.docx,639,5,7.82,130,0.0,0,0,导语->背景目的->过程展开->下一步,text-only or source image not extracted,routine-complete,0751de8ffbc4c001256aeaf45757dba4b7976bc277e210299e337b486a45ea78
a058,train,领导宣传,攀枝花市政协副主席、民革攀枝花市委会主委,4月17日攀枝花市政协副主席、民革攀枝花市委会主委魏渠河莅临大宜宾调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/4月17日攀枝花市政协副主席、民革攀枝花市委会主委魏渠河莅临大宜宾调研指导.docx,.docx,698,7,10.03,77,0.286,2,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,b294cd7fdcb400fece3cd5fb2d57d2209401367f6a5fa15b82b05d70c6f84ea2
a059,train,领导宣传,中央统战部研究室副主任、一级巡视员何文格一行到大宜宾调研指导！,中央统战部研究室副主任、一级巡视员何文格一行到大宜宾调研指导！.md,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/中央统战部研究室副主任、一级巡视员何文格一行到大宜宾调研指导！.md,.md,448,12,26.79,16,0.5,5,0,导语->背景目的->过程展开,8 image markers,short-routine,b22ef494d707db9f28a6fe8a740dad26fe2654daf530ab85fa82529bff2731dd
a060,train,领导宣传,全国妇联副主席章冬梅莅临大宜宾,全国妇联副主席章冬梅莅临大宜宾调研叙州区村播（联盟）妇联建设.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/全国妇联副主席章冬梅莅临大宜宾调研叙州区村播（联盟）妇联建设.docx,.docx,531,6,11.3,53,0.333,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,f068ee47a478124351f4b963a0f8ad2a795e3ec725455e7a8d0433d03cc5a669
a061,holdout,领导宣传,古蔺县领导干部莅临,古蔺县领导干部莅临大宜宾公司调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/古蔺县领导干部莅临大宜宾公司调研指导.docx,.docx,553,7,12.66,83,0.286,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,f32bef9007e1321e549637b87c4daacb6221aeaced3099e0d81c1bb46cb1e582
a062,train,领导宣传,四川省委统战部副部长、万群莅临大宜宾,四川省委统战部副部长万群莅临大宜宾调研网络统战工作.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/四川省委统战部副部长万群莅临大宜宾调研网络统战工作.doc,.doc,497,6,12.07,96,0.333,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,9e3d83c366ed32a5691952350b834a0ed5e5f8c7b7986b7a5b69cd9143c43834
a063,train,领导宣传,团省委副书记蒋亭一行莅临大宜宾参观调研青年婚恋工作！,团省委副书记蒋亭一行莅临大宜宾参观调研青年婚恋工作！.md,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/团省委副书记蒋亭一行莅临大宜宾参观调研青年婚恋工作！.md,.md,420,14,33.33,12,0.5,2,0,导语->过程展开->成效意义->下一步,14 image markers,short-routine,f19c40c9f4f2139cfb24294b53d7b9a7fa9b2c710d16e3645cd95236aa51e5f9
a064,train,领导宣传,宜宾市妇联副主席陈玉群,宜宾市妇联领导一行到大宜宾调研指导！.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/宜宾市妇联领导一行到大宜宾调研指导！.docx,.docx,368,7,19.02,54,0.286,2,0,导语->背景目的->过程展开->下一步,text-only or source image not extracted,short-routine,00f2e572f68c6eb6d512801d3447865ecdfba2ff2fb14b3e4cf0f9a56097e01e
a065,train,领导宣传,宜宾市总工会党组成员、副主席,宜宾市总工会党组成员、副主席杨莉莅临大宜宾调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/宜宾市总工会党组成员、副主席杨莉莅临大宜宾调研指导.docx,.docx,655,8,12.21,92,0.25,2,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,35139025d2da678d64f8391175aec7537786b76c9c2f08fcbac0dbfd4904b195
a066,train,领导宣传,宜宾市网联会赴南溪区调研,宜宾市网联会赴南溪区调研为文旅体商深度融合发展建言献策.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/宜宾市网联会赴南溪区调研为文旅体商深度融合发展建言献策.docx,.docx,616,7,11.36,100,0.286,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,bbcb0aa618e38d40449833679bb9609f0b20c03995a188a247d8bf3e26f9e83e
a067,train,领导宣传,欢迎成都市武侯区工商联领导一行,欢迎成都市武侯区工商联领导一行莅临大宜宾指导调研！.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/欢迎成都市武侯区工商联领导一行莅临大宜宾指导调研！.docx,.docx,563,6,10.66,108,0.333,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,d27cca47565d1ef26fe383507f1f7e25a1a4988b2c62b9f2b83319aa8998cca6
a068,train,领导宣传,热烈欢迎成都 雅安 达州 合川 许昌,热烈欢迎成都 雅安 达州 合川 许昌 安阳 南阳 平顶山 济源 汝州 永州同行 莅临大宜宾共话发展！.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/热烈欢迎成都 雅安 达州 合川 许昌 安阳 南阳 平顶山 济源 汝州 永州同行 莅临大宜宾共话发展！.docx,.docx,460,7,15.22,80,0.429,3,0,导语->过程展开->下一步,text-only or source image not extracted,short-routine,6fabc644b8782e53d822aaf38b57f7cf8e93c4df3d435d04f6bb1deb50c3c938
a069,train,领导宣传,省妇联党组书记、主席王华蓉调研大宜宾,省妇联党组书记、主席王华蓉莅临大宜宾开展调研慰问工作(4)(2).doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/省妇联党组书记、主席王华蓉莅临大宜宾开展调研慰问工作(4)(2).doc,.doc,737,6,8.14,137,0.333,2,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,ba86b7759648a55e129c8d9ebe9324c9acfd5d8124cbbcc4e6a98780272c11b6
a070,train,领导宣传,联创商会及会员企业宣传片制作大赛交流会简报,联创商会及会员企业宣传片制作大赛交流会简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/联创商会及会员企业宣传片制作大赛交流会简报.docx,.docx,500,5,10.0,103,0.0,0,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,ec20bb8af3e4880f8c18437284b2debd7401dc9811774685eba15c178a327647
a071,train,领导宣传,重庆市合川区人大常委会领导,重庆市合川区人大常委会领导一行到大宜宾调研参观.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/重庆市合川区人大常委会领导一行到大宜宾调研参观.docx,.docx,335,5,14.93,90,0.4,2,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,fc4a0272e248650fe8ae58e8000186fb2760a26d8a942fc0c2c80dbe35917270
a072,train,领导宣传,（第10期）大宜宾与宜宾人才发展集团座谈交流 共促本土人才服务与就业发展5.26,（第10期）大宜宾与宜宾人才发展集团座谈交流 共促本土人才服务与就业发展5.26.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第10期）大宜宾与宜宾人才发展集团座谈交流 共促本土人才服务与就业发展5.26.docx,.docx,670,11,16.42,16,0.545,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,243fc0cef87867aacb98d0b5e956e0f38b1cc9e1e8ed11190f3a1786a488c282
a073,train,领导宣传,（第12期)眉山市委统战部部务委员高峰一行调研大宜宾新媒体平台6.3,（第12期)眉山市委统战部部务委员高峰一行调研大宜宾新媒体平台6.3.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第12期)眉山市委统战部部务委员高峰一行调研大宜宾新媒体平台6.3.docx,.docx,636,11,17.3,17,0.545,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,38040fccebae76828ba338911a4c82a142f3216692b85f7fb0d9f8859c9d8e8c
a074,holdout,领导宣传,（第15期）叙州区委党校一行莅临大宜宾调研交流6.10,（第15期）叙州区委党校一行莅临大宜宾调研交流6.10.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第15期）叙州区委党校一行莅临大宜宾调研交流6.10.docx,.docx,747,10,13.39,31,0.5,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,d8b23171e2e790072d06b72e7731f426b8ab0f24684cd883b20a6bc14422490d
a075,train,领导宣传,（第18期）四川省互联网行业党委、宜宾市互联网行业党委莅临练团子党支委开展困难党员慰问活动6.17,（第18期）四川省互联网行业党委、宜宾市互联网行业党委莅临练团子党支委开展困难党员慰问活动6.17.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第18期）四川省互联网行业党委、宜宾市互联网行业党委莅临练团子党支委开展困难党员慰问活动6.17.docx,.docx,744,11,14.78,20,0.545,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,206ba5db6fa67ff1107e789fe78d1caf410e92a45121f051a758199721715c1f
a076,train,领导宣传,（第25期）市委网信办副主任王维国赴练团子党支部开展“七一”慰问调研,（第25期）市委网信办副主任王维国赴练团子党支部开展“七一”慰问调研.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第25期）市委网信办副主任王维国赴练团子党支部开展“七一”慰问调研.docx,.docx,516,10,19.38,13,0.6,6,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,4a2cf69af270177dce845c0f6f127c9d16fd351c45e02971fea09a8f957f1446
a077,train,领导宣传,（第26期）共青团四川省委领导一行莅临大宜宾调研指导,（第26期）共青团四川省委领导一行莅临大宜宾调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第26期）共青团四川省委领导一行莅临大宜宾调研指导.docx,.docx,459,10,21.79,10,0.6,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,01f987d189908b3babff6864c96b2789727f4e868ae1c17704be617bfdee924b
a078,train,领导宣传,（第2期）党建引领暖人心，工会关怀促发展,（第2期）党建引领暖人心，工会关怀促发展.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第2期）党建引领暖人心，工会关怀促发展.docx,.docx,457,9,19.69,14,0.556,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,7311e2e5e6f79d5328f7bcaad5924ed913c6a5355625ed5839ca6eb7b1aa14ab
a079,train,领导宣传,（第31期）叙州区委组织部部长徐春阳莅临大宜宾调研指导,（第31期）叙州区委组织部部长徐春阳莅临大宜宾调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第31期）叙州区委组织部部长徐春阳莅临大宜宾调研指导.docx,.docx,510,9,17.65,21,0.444,4,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,d7e7ea28b5a00ee1a82b15de7281bd6e861fa5b0fa6db983c3b249398f333a1b
a080,train,领导宣传,（第34期）四川省委社工部莅临调研大宜宾调研指导,（第34期）四川省委社工部莅临调研大宜宾调研指导.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第34期）四川省委社工部莅临调研大宜宾调研指导.docx,.docx,513,9,17.54,16,0.556,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,f02d633d928f62363eb375650227d4920f1de82d87aa651b39eb004984a5cadd
a081,train,领导宣传,（第36期）成都高新区互联网文化协会党委赴练团子党支部开展五星级党组织审查工作,（第36期）成都高新区互联网文化协会党委赴练团子党支部开展五星级党组织审查工作.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第36期）成都高新区互联网文化协会党委赴练团子党支部开展五星级党组织审查工作.docx,.docx,553,10,18.08,16,0.6,6,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,b4f49000d57694d35bf980583b80c1023579bdbd7b0da6a71f3966b03204b25e
a082,train,领导宣传,（第4期）宜宾市市场监督管理局党组成员、机关党委书记王庆红莅临大宜宾调研交流2.25,（第4期）宜宾市市场监督管理局党组成员、机关党委书记王庆红莅临大宜宾调研交流2.25.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第4期）宜宾市市场监督管理局党组成员、机关党委书记王庆红莅临大宜宾调研交流2.25.docx,.docx,820,11,13.41,84,0.364,4,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,0453aaf89e0a255df4c1532011fc8c288f5dd3733dacc4c754575c678f6b733f
a083,train,领导宣传,（第4期）组织关怀暖人心，新春慰问启新程,（第4期）组织关怀暖人心，新春慰问启新程.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第4期）组织关怀暖人心，新春慰问启新程.docx,.docx,536,9,16.79,14,0.556,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,c778275b7838224dbf39381d9cee8a2888412168bf892424dd4c42f1e2d540c2
a084,train,领导宣传,（第5期）区委社工部到大宜宾调研“两企三新”领域组织建设工作,（第5期）区委社工部到大宜宾调研“两企三新”领域组织建设工作.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第5期）区委社工部到大宜宾调研“两企三新”领域组织建设工作.docx,.docx,579,11,19.0,17,0.545,6,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,86002fdc567703562224ecbca34836d7eb90defe427226b9f43febd56c7f7248
a085,train,领导宣传,（第6期）宜宾市委网信办新春送温暖慰问活动走进大宜宾党支部,（第6期）宜宾市委网信办新春送温暖慰问活动走进大宜宾党支部.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第6期）宜宾市委网信办新春送温暖慰问活动走进大宜宾党支部.docx,.docx,456,9,19.74,16,0.556,5,0,导语->过程展开,text-only or source image not extracted,short-routine,5be642d535f2d454c41a6cc8ed2f651b9fe12fc412abbb1402fb971dab4f0498
a086,train,领导宣传,（第7期）区数据局局长走访大宜宾公司，共商发展新机遇,（第7期）区数据局局长走访大宜宾公司，共商发展新机遇.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第7期）区数据局局长走访大宜宾公司，共商发展新机遇.docx,.docx,428,9,21.03,20,0.556,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,72dd3578540262d13009f35eaf43477254ab367143bc9929ed95ca9a71386cfc
a087,train,领导宣传,（第8期）党建领航大宜宾，区域发展展宏图,（第8期）党建领航大宜宾，区域发展展宏图.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第8期）党建领航大宜宾，区域发展展宏图.docx,.docx,598,9,15.05,14,0.556,5,0,导语->成效意义->下一步,text-only or source image not extracted,routine-complete,c846fd1a1f2b6d89669c62fb09494ce6bed5115064d5376359f26439cf8d05a1
a088,train,领导宣传,（第9期）党建引领促发展，调研指导谱新篇,（第9期）党建引领促发展，调研指导谱新篇.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/领导宣传/（第9期）党建引领促发展，调研指导谱新篇.docx,.docx,598,10,16.72,58,0.5,5,0,导语->背景目的->成效意义->下一步,text-only or source image not extracted,routine-complete,ed54540f36e5cd756b6bc3b15848119d818d702df447bcc4070e92c001cfcd92
